"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20348","Submit Approved AOL to Client Flow","chromium","Tue Jul 29 17:09:47 IST 2025","passed","Tue Jul 29 17:10:08 IST 2025","","Test_Suite.spec.js","",""
"","15752","Import Receipt of Exam Fields","chromium","Tue Jul 29 17:06:16 IST 2025","passed","Tue Jul 29 17:06:31 IST 2025","","Test_Suite.spec.js","",""
"","19822","Map Receipt of Exam Fields","chromium","Tue Jul 29 17:05:56 IST 2025","passed","Tue Jul 29 17:06:16 IST 2025","","Test_Suite.spec.js","",""
"","12298","Import Sheet Setting Mapping","chromium","Tue Jul 29 17:05:01 IST 2025","passed","Tue Jul 29 17:05:13 IST 2025","","Test_Suite.spec.js","",""
"","10141","Map Partners Fields","chromium","Tue Jul 29 17:04:51 IST 2025","passed","Tue Jul 29 17:05:01 IST 2025","","Test_Suite.spec.js","",""
"","13489","Generate and Email Final AOL PDF","chromium","Tue Jul 29 17:08:43 IST 2025","passed","Tue Jul 29 17:08:56 IST 2025","","Test_Suite.spec.js","",""
"","8997","Add Vendor Form Automation","chromium","Tue Jul 29 17:05:13 IST 2025","passed","Tue Jul 29 17:05:22 IST 2025","","Test_Suite.spec.js","",""
"","11020","Add Record manually","chromium","Tue Jul 29 17:05:31 IST 2025","passed","Tue Jul 29 17:05:42 IST 2025","","Test_Suite.spec.js","",""
"","14085","Attorney Assignment - Assign multiple records to attorney","chromium","Tue Jul 29 17:05:42 IST 2025","passed","Tue Jul 29 17:05:56 IST 2025","","Test_Suite.spec.js","",""
"","21565","Yopmail Signature Flow - Safe DocuSign Flow","chromium","Tue Jul 29 17:09:23 IST 2025","failed","Tue Jul 29 17:09:44 IST 2025","","Test_Suite.spec.js","",""
"","8299","Upload CSV Record File","chromium","Tue Jul 29 17:05:22 IST 2025","passed","Tue Jul 29 17:05:31 IST 2025","","Test_Suite.spec.js","",""
"","11859","Upload Receipt of Exam CSV","chromium","Tue Jul 29 17:06:31 IST 2025","passed","Tue Jul 29 17:06:43 IST 2025","","Test_Suite.spec.js","",""
"","11521","Add Partner","chromium","Tue Jul 29 17:04:39 IST 2025","passed","Tue Jul 29 17:04:50 IST 2025","","Test_Suite.spec.js","",""
"","16862","Create and Email Preliminary AOL Template","chromium","Tue Jul 29 17:08:25 IST 2025","passed","Tue Jul 29 17:08:42 IST 2025","","Test_Suite.spec.js","",""
